Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,mean_amo
1933,0.084,0.153,0.087,0.207,0.288,0.24,0.276,0.278,0.239,0.327,0.076,-0.002,0.18775
1934,-0.115,-0.193,-0.215,-0.097,-0.116,0.03,0.167,0.076,0.138,0.166,0.013,-0.008,-0.012833333333333332
1935,0.038,-0.139,-0.154,0.05,0.137,0.105,0.058,0.001,-0.041,-0.023,0.016,0.096,0.012
1936,0.133,0.141,0.189,0.192,0.163,0.188,0.19,0.209,0.169,0.099,0.015,0.043,0.14425
1937,0.05,0.081,0.094,0.065,0.126,0.445,0.606,0.586,0.502,0.292,0.251,0.348,0.2871666666666667
1938,0.206,0.147,0.194,0.232,0.198,0.163,0.199,0.293,0.303,0.349,0.313,0.213,0.23416666666666666
1939,0.13,0.073,-0.037,0.089,0.1,0.172,0.32,0.317,0.294,0.005,-0.158,-0.085,0.10166666666666667
1940,0.056,-0.199,-0.15,-0.038,-0.004,0.008,0.091,0.1,0.019,-0.055,-0.137,-0.143,-0.03766666666666667
1941,-0.067,0.09,0.126,0.059,0.032,-0.024,0.083,0.273,0.299,0.41,0.387,0.321,0.16575
1942,0.13,0.193,0.187,0.199,0.204,0.254,0.095,0.14,0.218,0.198,0.191,0.086,0.17458333333333334
1943,0.124,0.091,-0.108,-0.141,-0.129,-0.081,0.011,0.011,0.071,0.075,0.138,0.223,0.02375
1944,0.296,0.313,0.418,0.31,0.287,0.342,0.356,0.439,0.413,0.362,0.267,0.269,0.3393333333333333
1945,0.255,0.344,0.36,0.407,0.305,0.17,0.079,0.103,0.08,0.098,0.18,0.134,0.20958333333333332
1946,0.273,0.186,0.127,0.057,0.085,-0.105,-0.209,-0.168,-0.021,-0.019,-0.069,-0.039,0.00816666666666667
1947,-0.178,-0.131,-0.095,-0.101,-0.159,-0.156,-0.16,-0.103,-0.054,-0.093,0.043,0.03,-0.09641666666666666
1948,-0.019,-0.031,0.024,-0.074,-0.008,0.051,-0.043,-0.027,-0.057,0.004,0.13,0.058,6.666666666666675e-4
1949,0.149,0.156,0.034,0.095,-0.028,-0.003,0.067,0.098,0.066,0.1,0.104,0.114,0.07933333333333334
1950,0.107,-0.038,-0.11,-0.134,-0.062,-0.047,-0.059,0.016,0.006,-0.094,0.076,0.084,-0.02125
1951,0.099,-0.006,0.008,0.165,0.168,0.285,0.418,0.299,0.245,0.255,0.171,0.17,0.18975
1952,0.167,0.178,0.226,0.187,0.176,0.378,0.368,0.399,0.357,0.35,0.246,0.336,0.2806666666666667
1953,0.261,0.181,0.137,0.309,0.338,0.271,0.339,0.254,0.275,0.143,0.24,0.253,0.2500833333333333
1954,0.222,0.091,0.096,-0.018,0.065,0.094,-0.05,-0.019,-0.016,-0.037,-0.032,-0.056,0.028333333333333335
1955,0.071,0.035,0.036,0.09,0.171,0.188,0.263,0.17,0.198,0.274,0.381,0.251,0.17733333333333334
1956,0.181,0.089,0.008,0.058,-0.063,-0.269,-0.095,-0.104,-0.094,-0.048,-0.092,0.013,-0.034666666666666665
1957,-0.086,-0.112,-0.025,-0.079,-0.127,-0.018,0.034,0.196,0.215,0.144,0.078,0.074,0.0245
1958,0.043,0.183,0.338,0.34,0.196,0.216,0.158,0.155,0.206,0.146,0.179,0.213,0.19775
1959,0.094,0.108,-0.033,-0.01,0.001,-0.066,-0.038,0.006,0.119,0.106,0.045,0.103,0.03625
1960,0.17,0.21,0.082,0.09,0.296,0.312,0.264,0.329,0.204,0.29,0.243,0.131,0.21841666666666668
1961,0.054,0.074,0.142,0.22,0.187,0.026,-0.026,0.029,-0.004,0.022,0.06,0.206,0.0825
1962,0.142,0.145,0.158,0.08,0.016,-0.078,-0.015,-0.07,-0.003,0.058,0.039,0.183,0.05458333333333333
1963,0.15,0.158,0.126,0.096,-0.092,-0.055,-0.043,-0.081,-0.21,-0.079,-0.065,-0.068,-0.013583333333333333
1964,-0.083,0.014,0.032,-0.154,0.033,-0.004,-0.152,-0.242,-0.228,-0.279,-0.174,-0.129,-0.11383333333333333
1965,-0.206,-0.185,-0.086,-0.105,-0.107,-0.135,-0.196,-0.218,-0.23,-0.256,-0.284,-0.132,-0.17833333333333334
1966,-0.084,0.002,-0.018,0.035,-0.007,-0.053,-0.064,-0.052,-0.008,0.005,-0.005,0.072,-0.014750000000000001
1967,0.073,0.079,-0.042,-0.024,-0.196,-0.27,-0.239,-0.173,-0.106,-0.109,-0.243,-0.162,-0.11766666666666667
1968,-0.255,-0.207,-0.218,-0.165,-0.133,-0.271,-0.238,-0.223,-0.159,-0.122,-0.117,-0.136,-0.187
1969,-0.072,0.095,0.198,0.14,0.001,0.019,0.084,-0.11,-0.116,-0.195,-0.133,-0.041,-0.010833333333333332
1970,-0.02,-0.058,0.009,0.01,-0.056,-0.192,-0.21,-0.15,-0.147,-0.206,-0.25,-0.219,-0.12408333333333334
1971,-0.255,-0.302,-0.32,-0.422,-0.336,-0.372,-0.359,-0.445,-0.376,-0.244,-0.253,-0.318,-0.3335
1972,-0.327,-0.39,-0.448,-0.336,-0.478,-0.498,-0.384,-0.393,-0.312,-0.296,-0.286,-0.36,-0.37566666666666665
1973,-0.383,-0.403,-0.353,-0.274,-0.178,-0.184,-0.113,-0.142,-0.14,-0.225,-0.218,-0.247,-0.23833333333333334
1974,-0.285,-0.293,-0.41,-0.533,-0.509,-0.457,-0.524,-0.477,-0.515,-0.517,-0.435,-0.37,-0.44375
1975,-0.282,-0.348,-0.319,-0.355,-0.397,-0.304,-0.281,-0.194,-0.345,-0.363,-0.35,-0.331,-0.3224166666666667
1976,-0.394,-0.45,-0.503,-0.435,-0.497,-0.493,-0.316,-0.194,-0.202,-0.302,-0.425,-0.441,-0.38766666666666666
1977,-0.398,-0.342,-0.192,-0.226,-0.179,-0.116,-0.115,-0.154,-0.241,-0.233,-0.152,-0.214,-0.2135
1978,-0.115,-0.156,-0.167,-0.204,-0.213,-0.342,-0.285,-0.236,-0.199,-0.216,-0.128,-0.192,-0.20441666666666666
1979,-0.201,-0.16,-0.237,-0.246,-0.126,-0.051,-0.103,-0.124,-0.118,-0.096,-0.094,-0.068,-0.13533333333333333
1980,-0.01,-0.087,-0.147,-0.009,0.121,0.1,0.042,0.015,-0.016,-0.07,-0.205,-0.257,-0.043583333333333335
1981,-0.185,-0.184,-0.002,-0.099,-0.087,-0.066,-0.098,-0.119,-0.04,-0.19,-0.14,-0.01,-0.10166666666666667
1982,-0.084,-0.082,-0.084,-0.186,-0.195,-0.188,-0.232,-0.312,-0.311,-0.375,-0.421,-0.384,-0.23783333333333334
1983,-0.302,-0.107,0.077,0.055,-0.052,-0.058,-0.019,-0.162,-0.219,-0.199,-0.162,-0.007,-0.09625
1984,-0.11,-0.092,-0.129,-0.161,-0.17,-0.328,-0.27,-0.23,-0.213,-0.348,-0.428,-0.322,-0.23341666666666666
1985,-0.358,-0.333,-0.36,-0.405,-0.341,-0.132,-0.157,-0.286,-0.252,-0.249,-0.299,-0.341,-0.29275
1986,-0.347,-0.279,-0.297,-0.329,-0.233,-0.266,-0.253,-0.277,-0.224,-0.323,-0.402,-0.376,-0.3005
1987,-0.282,-0.222,-0.037,0.024,0.063,0.198,0.275,0.275,0.189,0.042,-0.075,0.038,0.04066666666666667
1988,-0.047,-0.122,-0.016,0.045,0.131,0.158,0.102,-0.016,-0.103,-0.179,-0.155,-0.172,-0.031166666666666665
1989,-0.229,-0.165,-0.262,-0.298,-0.155,0.082,0.169,0.104,-0.103,-0.132,-0.158,-0.162,-0.10908333333333334
1990,-0.308,-0.17,-0.187,-0.126,-0.067,-0.065,-0.031,0.044,0.138,0.104,-0.063,-0.045,-0.06466666666666666
1991,-0.204,-0.126,-0.078,-0.142,-0.163,-0.139,-0.117,-0.119,-0.047,-0.272,-0.271,-0.224,-0.1585
1992,-0.201,-0.105,-0.103,-0.195,-0.233,-0.161,-0.23,-0.391,-0.38,-0.311,-0.345,-0.296,-0.24591666666666667
1993,-0.251,-0.198,-0.255,-0.185,-0.175,-0.193,-0.288,-0.24,-0.176,-0.255,-0.33,-0.305,-0.23758333333333334
1994,-0.308,-0.321,-0.291,-0.212,-0.219,-0.234,-0.243,-0.248,-0.164,-0.072,-0.032,-0.103,-0.20391666666666666
1995,-0.075,-0.052,0.004,0.063,0.259,0.351,0.301,0.17,0.041,0.089,0.114,0.029,0.10783333333333334
1996,-0.023,-0.045,-0.07,-0.004,-0.078,-0.137,-0.118,-0.021,-0.015,-0.158,-0.187,-0.168,-0.08533333333333333
1997,-0.104,-0.049,-0.008,-0.006,0.026,-0.005,0.047,0.002,0.096,0.137,0.038,0.118,0.024333333333333335
1998,0.117,0.278,0.308,0.278,0.37,0.476,0.474,0.499,0.399,0.368,0.304,0.266,0.34475
1999,0.037,0.044,0.055,0.038,0.149,0.166,0.184,0.293,0.171,0.003,-0.062,0.001,0.08991666666666667
2000,-0.097,-0.052,0.09,0.028,0.091,-0.032,0.059,0.089,0.088,-0.054,-0.067,-0.141,1.6666666666666596e-4
2001,-0.141,-0.04,0.001,-0.026,-0.023,0.184,0.121,0.164,0.272,0.237,0.142,0.199,0.09083333333333334
2002,0.168,0.151,0.131,0.013,-0.062,-0.131,-0.08,0.092,0.066,0.097,0.005,-0.009,0.03675
2003,0.036,-0.027,0.098,0.065,0.137,0.191,0.262,0.401,0.438,0.412,0.209,0.21,0.20266666666666666
